fid,objtype,lokalid,navnerom,versjonid,datafangstdato,oppdateringsdato,datauttaksdato,opphav,kommunenummer,navn,Turnover_capita_retail_Omsetning
"38",Kommune,b9fe496b-8cbf-4c7e-bf49-8392a8f54fb6,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190301000000",,,"4631",,"75353"
"39",Kommune,7fc5dd85-a0e9-48cd-9188-e716c23c5263,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1845",,"27348"
"40",Kommune,ea27c7d3-cf73-4a79-b1b7-75abd0b3cf20,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1871",,"81787"
"41",Kommune,64df7598-63d0-4d44-81c6-f5a0780bd9d4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4613",,"62053"
"42",Kommune,e320f269-23c2-4ae8-922e-b92fe684e96c,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1101",,"98494"
"43",Kommune,1cabf42b-692c-413e-ac59-fa810cef7d1f,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4630",,"45126"
"44",Kommune,e1064c65-a858-4dcb-9e43-fd2393261909,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"4620",,"36320"
"45",Kommune,6756c184-c5d6-4e90-aed1-eb4bc61f387d,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5413",,"43758"
"46",Kommune,e7c86115-3d9e-43e6-82fb-c2c05f4c215e,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4643",,"94106"
"47",Kommune,92291601-dbeb-432a-b640-eb31d0ac6ff0,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5041",,"42339"
"48",Kommune,970cfdc1-1760-4e05-995a-c889068cac44,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20060101000000",,,"1576",,"65488"
"49",Kommune,7edb0a10-2bd0-4351-a78d-ba2d1c23728e,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3824",,"44890"
"50",Kommune,b69eddc8-cbd7-44df-a80c-a1cf6601e521,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4214",,"65685"
"51",Kommune,1bc0eed6-ca90-4c76-b363-fb9bebc761cc,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5031",,"45257"
"52",Kommune,8e2e4d7c-17ba-46d1-ae77-f5cd29ed16ca,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1531",,"53773"
