fid,name,note,opening_hours,website,wikipedia,postal_code,shop,Vinmonopolet
"130",Sjøsiden,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://www.sjosidenhorten.no/,,"3187","32",true
"131",Mølla storsenter,,"Mo-Fr 09:00-19:00; Sa 09:00-18:00",https://www.mollastorsenter.no/,Mølla Storsenter,"2380","27",true
"132",,,,,,,,
"133",Kilden,,10:00-20:00(18:00),Kilden.no,NO: Kilden,"4016","60",true
"134",Gunerius,,"Mo-Fr 09:00-20:00, Sa 10:00-18:00",gunerius.no,gunerius oslo,"0184","40",false
"135",Fossegrenda senter,bare rema,07:00-23:00,,,"7038",,false
"136",Heiane Storsenter,,10:00 - 20:00 (18:00),heianestorsenter.no,heiane storsenter,"5412",,false
"137",Romsås senter,,,,,,,
"138",Oddensenteret,,10:00-19:00(18:00),odden.no,NO: Oddensenteret,"4876","38",false
"139",Semsbyen,,07:00-23:00. 10:00-18:00,Semsbyen.no,,"3170","8",false
"140",Sofiemyr senter,,,,,,,false
"141",,,,,,,,
"142",Linderud senter,,10:00-21:00(19:00),Linderudsenter.no,NO: Linderud senter,"0594","60",true
"143",Solsiden,,"Mo-Fr 09:00-21:00;Sa 09:00-18:00;Dec Mo[2]-Dec 22 Mo-Fr 09:00-22:00;Dec Mo[2]-Dec 22 Sa 09:00-20:00;Dec Mo[2]-Dec 22 Su 14:00-19:00;Dec 23,Dec 27-Dec 30 18:00+ closed;PH closed",https://www.solsidensenter.no/,NO: solsiden,"7042","53",true
"144",Mosenteret,,10:00-20:00(18:00),Mosenteret.no,NO:mosenteret,"1482","32",true
"145",Kalbakken senter,,,,,"0951","3",false
"146",Grorud senter,,10:00-20:00(09:00-18:00),Grorudsenter.no,NO: Grorud senter,"0963","32",true
"148",Handelshuset,restaurant,10:00-18:00(15:00),Handelshuset,,"5580",,false
"149",Trysilsenteret,,09:00-19:00(18:00),Trysil.com/a/trysil-senteret,no: Trysilsenteret,"2420","14",true
"150",Domus Tynset,,09:00-19:00(18:00),http://coop-oppdal.no/vare-kjopesenter/domus-tynset/,,"2500","11",true
"151",Oasen storsenter,,10:00-20:00(18:00),https://thonshopping.no/oasen,NO: oasen storsenter,"5542","79",true
"152",Amfi Ullevaal,,09:00-19:00(18:00),Amfi.no/amfi-ullevaal,no: Amfi Ullevaal,"0855","34",true
"153",Trondheim Torg,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00; Dec 1-24 Su 14:00-19:00; Dec 7-24 Sa 09:00-20:00; Dec 12-22 Mo-Fr 09:00-21:00; Dec 24 13:00+ off; Dec 25-26 off; Dec 27-30 18:00+ off; Dec 31 16:00+ off; Jan 1 off",https://www.trondheimtorg.no/,no:Trondheim Torg,"7013","65",true
"154",Alti Ørsta,,10:00-19:00(18:00),https://alti.no/orsta/,no: alti ørsta,"6150","31",true
"155",Amfi Narvik,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",amfi.no/narvik,NO: amfi narvik,"8514","34",false
"157",Skjetten nærsenter,,07:00-22:00(08:00-22:00),skjettensenter.no,NO: skjetten senter,"2013","10",false
"158",Ski storsenter,,"Mo-Fr 10:00-21:00; Sa 10:00-19:00",https://skistorsenter.no/,"NO; Ski storsenter","1400","149",true
"159",Vågsenteret,,10:00-19:00(16:00),vagsenteret.no,NO: Våg Senteret,"1914","12",true
"160",Narvik Storsenter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",narvikstorsenter.no,no: narvik storsenter,"8514","31",true
"161",Rykkinn senter,,10:00- 20:00(09:00-18:00),Rykkinsenter.no,NO:rykkinn senter,"1348","42",false
"162",Maxi Storsenter,,10:00- 21:00 (18:00),alti.no/maxi-storsenter,Maxi storsenter hamar,"2316","39",false
"163",Skedsmo Senter,,09:00 - 20:00 ( 10:00 - 18:00),http://www.skedsmosenter.no/,,"2020","50",true
"164",Moholt Storsenter,,07:00-23:00,"-",NO: moholt storsenter,"7048","4",false
"165",Trekanten,,10:00- 20:00(09:00-19:00),trekanten.no,,"1383","78",true
"166",,,,,,,,
"167",,,,,,,,
