fid,name,note,opening_hours,website,wikipedia,postal_code,shop,Vinmonopolet
"376",Hunstadsenteret,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"8019","19",true
"377",Alti Nordfjord,,Mon -Fr 10:00-19:00 Sat 10-17,https://alti.no/nordfjord/,,"6770","27",true
"378",Bryggen Senter,,Mon -Sa 07:00-23:00,,,"4310","9",false
"382",Karmøy Storsenter,,Mo-Sa 08:00-21:00,,,"4925",mall,
"383",Kremmartunet,,"Mo-We 10:00-18:00, Th-Fr 10:00-20:00, Sa 10:00-16:00",https://kremmartunet.no/,,"3550","15",false
"385",Sørfjordsenteret,,"Mo-Fr 07:00-22:00; Sa 08:00-21:00",,,"5750",mall,
"386",Sørfjordsenteret,,"Mo-Fr 07:00-22:00; Sa 08:00-21:00",,,"5750",mall,
"387",,,,,,,,
"388",,,,,,,,
"389",Glasmagasinet,,"Mo-Fr 10:00-19:00; Sa 10:00-18:00",https://www.glasmagasinet.no/,,"0155","14",false
"391",Valdrestunet,,"Mo-Tu 09:00-19:00; Fr 09:00-20:00; Sa 10:00-17:00; Su 11:00-18:00",,,"2930",mall,
"394",Eger Stormarked,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",,,"4370","7",false
"395",Eggedal handelslag,,"Mo-Tu 07:00-21:00; Fr 07:00-22:00; Sa 07:00-20:00; Su 10:00-18:00",,,"1458","8",true
"396",Morenen Kjøpesenter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://morenenkjopesenter.no/,,"1859","15",false
"397",Mørstad Senter,Mysen senter,"Mo-Fr 09:00-18:00; Sa 10:00-16:00",,,"1850","11",false
"398",Våge senter,,,,,"5680",mall,true
"399",Måløy Stormarked,,"Mo-Tu 10:00-19:00; Fr 10:00-17:00; Sa 10:00-16:00",,,"6718",mall,false
"400",,,,,,,,
"401",HSD - Handlesenteret ditt,,"Mo-Fr 10:00-19:00; Sa 10:00-17:00",https://www.hsd-senteret.no/,,"5430","15",false
"402",Ekspert-Senteret,,"Mo-Fr 10:00-18:00; Sa 10:00-16:00",http://ekspertsenteret.no,,"3800",mall,false
"403",Amfi Leira,Amfi Valdres,"Mo-Fr 10:00-19:00; Sa 10:00-18:00",,,"2907","16",false
"404",,,,,,,,
"405",CC Drammen,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",https://ccdrammen.no/,,"3012","39",true
"406",,,,,,,,
"407",Øyrane torg,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",http://www.oyrane-torg.no/,no:Øyrane Torg,"5260","38",true
"408",Fjord'n Senter,,"Mo-Fr 10:00-18:00; Sa 10:00-16:00",,,"5649","16",true
"409",Fjord'n Senter,,"Mo-Fr 10:00-18:00; Sa 10:00-16:00",,,"5649","16",true
"410",CC Gjøvik,,"Mo-Fr 10:00-21:00; Sa 10:00-18:00",,,"2821","79",true
"411",Aksdal senter,,"Mo-Fr 10:00-19:00; Sa 10:00-16:00",,,"5570","22",true
"412",Amfi Sogningen,,"Mo-Fr 10:00-19:00; Sa 10:00-18:00",,,"6856","54",true
"413",Voss Handelshus,,"Mo-Fr 07:30-19:00; Sa 09:00-18:00; Su 12:00-18:00",,,"5700","8",false
"414",NesttunSenteret,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",http://nesttunsenteret.no/,,"5221","35",true
"415",Oasen senter,,"Mo-Fr 10:00-21:00; Sa 10:00-18:00",https://www.oasen-senter.no/,,"5147","71",true
"417",Roseby Vest,Amfi roseby,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"6415","94",true
"419",,,,,,,,
"420",Tonsenhagen senter,,,,,,mall,
"421",House of Oslo,,,,,,mall,
"422",Stadion Parken Kjøpesenter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://www.stadionparken.no/,,"4020","18",true
"423",Sentrumskvartalet,,,,,,mall,
"424",Markedet,,10:00 - 20_00,https://www.markedet.com,,"5528","19",true
